Code,Industry,Pre Code,Cur Code
NAICS 311830,Tortilla Manufacturing,31183,0
NAICS 311911,Roasted Nuts and Peanut Butter Manufacturing,31191,1
NAICS 311919,Other Snack Food Manufacturing,31191,9
NAICS 311920,Coffee and Tea Manufacturing,31192,0
NAICS 311930,Flavoring Syrup and Concentrate Manufacturing,31193,0
NAICS 311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",31194,1
NAICS 311942,Spice and Extract Manufacturing,31194,2
NAICS 311991,Perishable Prepared Food Manufacturing,31199,1
NAICS 311999,All Other Miscellaneous Food Manufacturing,31199,9
NAICS 312111,Soft Drink Manufacturing,31211,1
NAICS 312112,Bottled Water Manufacturing,31211,2
NAICS 312113,Ice Manufacturing,31211,3
NAICS 312120,Breweries,31212,0
NAICS 312130,Wineries,31213,0
NAICS 312140,Distilleries,31214,0
NAICS 312230,Tobacco Manufacturing,31223,0
NAICS 313110,"Fiber, Yarn, and Thread Mills",31311,0
NAICS 313210,Broadwoven Fabric Mills,31321,0
NAICS 313220,Narrow Fabric Mills and Schiffli Machine Embroidery,31322,0
NAICS 313230,Nonwoven Fabric Mills,31323,0
NAICS 313240,Knit Fabric Mills,31324,0
NAICS 313310,Textile and Fabric Finishing Mills,31331,0
NAICS 313320,Fabric Coating Mills,31332,0
NAICS 314110,Carpet and Rug Mills,31411,0
NAICS 314120,Curtain and Linen Mills,31412,0
NAICS 314910,Textile Bag and Canvas Mills,31491,0
NAICS 314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",31499,4
NAICS 314999,All Other Miscellaneous Textile Product Mills,31499,9
NAICS 315110,Hosiery and Sock Mills,31511,0
NAICS 315190,Other Apparel Knitting Mills,31519,0
NAICS 315210,Cut and Sew Apparel Contractors,31521,0
NAICS 315220,Men's and Boys' Cut and Sew Apparel Manufacturing,31522,0
NAICS 315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",31524,0
NAICS 315280,Other Cut and Sew Apparel Manufacturing,31528,0
NAICS 315990,Apparel Accessories and Other Apparel Manufacturing,31599,0
NAICS 316110,Leather and Hide Tanning and Finishing,31611,0
NAICS 316210,Footwear Manufacturing,31621,0
NAICS 316992,Women's Handbag and Purse Manufacturing,31699,2
NAICS 316998,All Other Leather Good and Allied Product Manufacturing,31699,8
NAICS 321113,Sawmills,32111,3
NAICS 321114,Wood Preservation,32111,4
NAICS 321211,Hardwood Veneer and Plywood Manufacturing,32121,1
NAICS 321212,Softwood Veneer and Plywood Manufacturing,32121,2
NAICS 321213,Engineered Wood Member (except Truss) Manufacturing,32121,3
NAICS 321214,Truss Manufacturing,32121,4
NAICS 321219,Reconstituted Wood Product Manufacturing,32121,9
NAICS 321911,Wood Window and Door Manufacturing,32191,1
NAICS 321912,"Cut Stock, Resawing Lumber, and Planing",32191,2
NAICS 321918,Other Millwork (including Flooring),32191,8
NAICS 321920,Wood Container and Pallet Manufacturing,32192,0
NAICS 321991,Manufactured Home (Mobile Home) Manufacturing,32199,1
NAICS 321992,Prefabricated Wood Building Manufacturing,32199,2
NAICS 321999,All Other Miscellaneous Wood Product Manufacturing,32199,9
NAICS 322110,Pulp Mills,32211,0
NAICS 322121,Paper (except Newsprint) Mills,32212,1
NAICS 322122,Newsprint Mills,32212,2
NAICS 322130,Paperboard Mills,32213,0
NAICS 322211,Corrugated and Solid Fiber Box Manufacturing,32221,1
NAICS 322212,Folding Paperboard Box Manufacturing,32221,2
NAICS 322219,Other Paperboard Container Manufacturing,32221,9
NAICS 322220,Paper Bag and Coated and Treated Paper Manufacturing,32222,0
NAICS 322230,Stationery Product Manufacturing,32223,0
NAICS 322291,Sanitary Paper Product Manufacturing,32229,1
NAICS 322299,All Other Converted Paper Product Manufacturing,32229,9
NAICS 323111,Commercial Printing (except Screen and Books),32311,1
NAICS 323113,Commercial Screen Printing,32311,3
NAICS 323117,Books Printing,32311,7
NAICS 323120,Support Activities for Printing,32312,0
NAICS 324110,Petroleum Refineries,32411,0
NAICS 324121,Asphalt Paving Mixture and Block Manufacturing,32412,1
NAICS 324122,Asphalt Shingle and Coating Materials Manufacturing,32412,2
NAICS 324191,Petroleum Lubricating Oil and Grease Manufacturing,32419,1
NAICS 324199,All Other Petroleum and Coal Products Manufacturing,32419,9
NAICS 325110,Petrochemical Manufacturing,32511,0
NAICS 325120,Industrial Gas Manufacturing,32512,0
NAICS 325130,Synthetic Dye and Pigment Manufacturing,32513,0
NAICS 325180,Other Basic Inorganic Chemical Manufacturing,32518,0
NAICS 325193,Ethyl Alcohol Manufacturing,32519,3
NAICS 325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",32519,4
NAICS 325199,All Other Basic Organic Chemical Manufacturing,32519,9
NAICS 325211,Plastics Material and Resin Manufacturing,32521,1
NAICS 325212,Synthetic Rubber Manufacturing,32521,2
NAICS 325220,Artificial and Synthetic Fibers and Filaments Manufacturing,32522,0
NAICS 325311,Nitrogenous Fertilizer Manufacturing,32531,1
NAICS 325312,Phosphatic Fertilizer Manufacturing,32531,2
NAICS 325314,Fertilizer (Mixing Only) Manufacturing,32531,4
NAICS 325320,Pesticide and Other Agricultural Chemical Manufacturing,32532,0
NAICS 325411,Medicinal and Botanical Manufacturing,32541,1
NAICS 325412,Pharmaceutical Preparation Manufacturing,32541,2
NAICS 325413,In-Vitro Diagnostic Substance Manufacturing,32541,3
NAICS 325414,Biological Product (except Diagnostic) Manufacturing,32541,4
NAICS 325510,Paint and Coating Manufacturing,32551,0
NAICS 325520,Adhesive Manufacturing,32552,0
NAICS 325611,Soap and Other Detergent Manufacturing,32561,1
NAICS 325612,Polish and Other Sanitation Good Manufacturing,32561,2
NAICS 325613,Surface Active Agent Manufacturing,32561,3
NAICS 325620,Toilet Preparation Manufacturing,32562,0
NAICS 325910,Printing Ink Manufacturing,32591,0
NAICS 325920,Explosives Manufacturing,32592,0
NAICS 325991,Custom Compounding of Purchased Resins,32599,1
NAICS 325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",32599,2
NAICS 325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,32599,8
NAICS 326111,Plastics Bag and Pouch Manufacturing,32611,1
NAICS 326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,32611,2
NAICS 326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,32611,3
NAICS 326121,Unlaminated Plastics Profile Shape Manufacturing,32612,1
NAICS 326122,Plastics Pipe and Pipe Fitting Manufacturing,32612,2
NAICS 326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",32613,0
NAICS 326140,Polystyrene Foam Product Manufacturing,32614,0
NAICS 326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,32615,0
NAICS 326160,Plastics Bottle Manufacturing,32616,0
NAICS 326191,Plastics Plumbing Fixture Manufacturing,32619,1
NAICS 326199,All Other Plastics Product Manufacturing,32619,9
NAICS 326211,Tire Manufacturing (except Retreading),32621,1
NAICS 326212,Tire Retreading,32621,2
NAICS 326220,Rubber and Plastics Hoses and Belting Manufacturing,32622,0
NAICS 326291,Rubber Product Manufacturing for Mechanical Use,32629,1
NAICS 326299,All Other Rubber Product Manufacturing,32629,9
NAICS 327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",32711,0
NAICS 327120,Clay Building Material and Refractories Manufacturing,32712,0
NAICS 327211,Flat Glass Manufacturing,32721,1
NAICS 327212,Other Pressed and Blown Glass and Glassware Manufacturing,32721,2
NAICS 327213,Glass Container Manufacturing,32721,3
NAICS 327215,Glass Product Manufacturing Made of Purchased Glass,32721,5
NAICS 327310,Cement Manufacturing,32731,0
NAICS 327320,Ready-Mix Concrete Manufacturing,32732,0
NAICS 327331,Concrete Block and Brick Manufacturing,32733,1
NAICS 327332,Concrete Pipe Manufacturing,32733,2
NAICS 327390,Other Concrete Product Manufacturing,32739,0
NAICS 327410,Lime Manufacturing,32741,0
NAICS 327420,Gypsum Product Manufacturing,32742,0
NAICS 327910,Abrasive Product Manufacturing,32791,0
NAICS 327991,Cut Stone and Stone Product Manufacturing,32799,1
NAICS 327992,Ground or Treated Mineral and Earth Manufacturing,32799,2
NAICS 327993,Mineral Wool Manufacturing,32799,3
NAICS 327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,32799,9
NAICS 331110,Iron and Steel Mills and Ferroalloy Manufacturing,33111,0
NAICS 331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,33121,0
NAICS 331221,Rolled Steel Shape Manufacturing,33122,1
NAICS 331222,Steel Wire Drawing,33122,2
NAICS 331313,Alumina Refining and Primary Aluminum Production,33131,3
NAICS 331314,Secondary Smelting and Alloying of Aluminum,33131,4
NAICS 331315,"Aluminum Sheet, Plate, and Foil Manufacturing",33131,5
NAICS 331318,"Other Aluminum Rolling, Drawing, and Extruding",33131,8
NAICS 331410,Nonferrous Metal (except Aluminum) Smelting and Refining,33141,0
NAICS 331420,"Copper Rolling, Drawing, Extruding, and Alloying",33142,0
NAICS 331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",33149,1
NAICS 331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",33149,2
NAICS 331511,Iron Foundries,33151,1
NAICS 331512,Steel Investment Foundries,33151,2
NAICS 331513,Steel Foundries (except Investment),33151,3
NAICS 331523,Nonferrous Metal Die-Casting Foundries,33152,3
NAICS 331524,Aluminum Foundries (except Die-Casting),33152,4
NAICS 331529,Other Nonferrous Metal Foundries (except Die-Casting),33152,9
NAICS 332111,Iron and Steel Forging,33211,1
NAICS 332112,Nonferrous Forging,33211,2
NAICS 332114,Custom Roll Forming,33211,4
NAICS 332117,Powder Metallurgy Part Manufacturing,33211,7
NAICS 332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",33211,9
NAICS 332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",33221,5
NAICS 332216,Saw Blade and Handtool Manufacturing,33221,6
NAICS 332311,Prefabricated Metal Building and Component Manufacturing,33231,1
NAICS 332312,Fabricated Structural Metal Manufacturing,33231,2
NAICS 332313,Plate Work Manufacturing,33231,3
NAICS 332321,Metal Window and Door Manufacturing,33232,1
NAICS 332322,Sheet Metal Work Manufacturing,33232,2
NAICS 332323,Ornamental and Architectural Metal Work Manufacturing,33232,3
NAICS 332410,Power Boiler and Heat Exchanger Manufacturing,33241,0
NAICS 332420,Metal Tank (Heavy Gauge) Manufacturing,33242,0
NAICS 332431,Metal Can Manufacturing,33243,1
NAICS 332439,Other Metal Container Manufacturing,33243,9
NAICS 332510,Hardware Manufacturing,33251,0
NAICS 332613,Spring Manufacturing,33261,3
NAICS 332618,Other Fabricated Wire Product Manufacturing,33261,8
NAICS 332710,Machine Shops,33271,0
NAICS 332721,Precision Turned Product Manufacturing,33272,1
NAICS 332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",33272,2
NAICS 332811,Metal Heat Treating,33281,1
NAICS 332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",33281,2
NAICS 332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",33281,3
NAICS 332911,Industrial Valve Manufacturing,33291,1
NAICS 332912,Fluid Power Valve and Hose Fitting Manufacturing,33291,2
NAICS 332913,Plumbing Fixture Fitting and Trim Manufacturing,33291,3
NAICS 332919,Other Metal Valve and Pipe Fitting Manufacturing,33291,9
NAICS 332991,Ball and Roller Bearing Manufacturing,33299,1
NAICS 332992,Small Arms Ammunition Manufacturing,33299,2
NAICS 332993,Ammunition (except Small Arms) Manufacturing,33299,3
NAICS 332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",33299,4
NAICS 332996,Fabricated Pipe and Pipe Fitting Manufacturing,33299,6
NAICS 332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,33299,9
NAICS 333111,Farm Machinery and Equipment Manufacturing,33311,1
NAICS 333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,33311,2
NAICS 333120,Construction Machinery Manufacturing,33312,0
NAICS 333131,Mining Machinery and Equipment Manufacturing,33313,1
NAICS 333132,Oil and Gas Field Machinery and Equipment Manufacturing,33313,2
NAICS 333241,Food Product Machinery Manufacturing,33324,1
NAICS 333242,Semiconductor Machinery Manufacturing,33324,2
NAICS 333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",33324,3
NAICS 333244,Printing Machinery and Equipment Manufacturing,33324,4
NAICS 333249,Other Industrial Machinery Manufacturing,33324,9
NAICS 333314,Optical Instrument and Lens Manufacturing,33331,4
NAICS 333316,Photographic and Photocopying Equipment Manufacturing,33331,6
NAICS 333318,Other Commercial and Service Industry Machinery Manufacturing,33331,8
NAICS 333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,33341,3
NAICS 333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,33341,4
NAICS 333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,33341,5
NAICS 333511,Industrial Mold Manufacturing,33351,1
NAICS 333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",33351,4
NAICS 333515,Cutting Tool and Machine Tool Accessory Manufacturing,33351,5
NAICS 333517,Machine Tool Manufacturing,33351,7
NAICS 333519,Rolling Mill and Other Metalworking Machinery Manufacturing,33351,9
