Code,Industry,Pre Code,Cur Code
NAICS 624190,Other Individual and Family Services,62419,0
NAICS 624210,Community Food Services,62421,0
NAICS 624221,Temporary Shelters,62422,1
NAICS 624229,Other Community Housing Services,62422,9
NAICS 624230,Emergency and Other Relief Services,62423,0
NAICS 624310,Vocational Rehabilitation Services,62431,0
NAICS 624410,Child Day Care Services,62441,0
NAICS 711110,Theater Companies and Dinner Theaters,71111,0
NAICS 711120,Dance Companies,71112,0
NAICS 711130,Musical Groups and Artists,71113,0
NAICS 711190,Other Performing Arts Companies,71119,0
NAICS 711211,Sports Teams and Clubs,71121,1
NAICS 711212,Racetracks,71121,2
NAICS 711219,Other Spectator Sports,71121,9
NAICS 711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",71131,0
NAICS 711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",71132,0
NAICS 711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",71141,0
NAICS 711510,"Independent Artists, Writers, and Performers",71151,0
NAICS 712110,Museums,71211,0
NAICS 712120,Historical Sites,71212,0
NAICS 712130,Zoos and Botanical Gardens,71213,0
NAICS 712190,Nature Parks and Other Similar Institutions,71219,0
NAICS 713110,Amusement and Theme Parks,71311,0
NAICS 713120,Amusement Arcades,71312,0
NAICS 713210,Casinos (except Casino Hotels),71321,0
NAICS 713290,Other Gambling Industries,71329,0
NAICS 713910,Golf Courses and Country Clubs,71391,0
NAICS 713920,Skiing Facilities,71392,0
NAICS 713930,Marinas,71393,0
NAICS 713940,Fitness and Recreational Sports Centers,71394,0
NAICS 713950,Bowling Centers,71395,0
NAICS 713990,All Other Amusement and Recreation Industries,71399,0
NAICS 721110,Hotels (except Casino Hotels) and Motels,72111,0
NAICS 721120,Casino Hotels,72112,0
NAICS 721191,Bed-and-Breakfast Inns,72119,1
NAICS 721199,All Other Traveler Accommodation,72119,9
NAICS 721211,RV (Recreational Vehicle) Parks and Campgrounds,72121,1
NAICS 721214,Recreational and Vacation Camps (except Campgrounds),72121,4
NAICS 721310,Rooming and Boarding Houses,72131,0
NAICS 722310,Food Service Contractors,72231,0
NAICS 722320,Caterers,72232,0
NAICS 722330,Mobile Food Services,72233,0
NAICS 722410,Drinking Places (Alcoholic Beverages),72241,0
NAICS 722511,Full-Service Restaurants,72251,1
NAICS 722513,Limited-Service Restaurants,72251,3
NAICS 722514,"Cafeterias, Grill Buffets, and Buffets",72251,4
NAICS 722515,Snack and Nonalcoholic Beverage Bars,72251,5
NAICS 811111,General Automotive Repair,81111,1
NAICS 811112,Automotive Exhaust System Repair,81111,2
NAICS 811113,Automotive Transmission Repair,81111,3
NAICS 811118,Other Automotive Mechanical and Electrical Repair and Maintenance,81111,8
NAICS 811121,"Automotive Body, Paint, and Interior Repair and Maintenance",81112,1
NAICS 811122,Automotive Glass Replacement Shops,81112,2
NAICS 811191,Automotive Oil Change and Lubrication Shops,81119,1
NAICS 811192,Car Washes,81119,2
NAICS 811198,All Other Automotive Repair and Maintenance,81119,8
NAICS 811211,Consumer Electronics Repair and Maintenance,81121,1
NAICS 811212,Computer and Office Machine Repair and Maintenance,81121,2
NAICS 811213,Communication Equipment Repair and Maintenance,81121,3
NAICS 811219,Other Electronic and Precision Equipment Repair and Maintenance,81121,9
NAICS 811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,81131,0
NAICS 811411,Home and Garden Equipment Repair and Maintenance,81141,1
NAICS 811412,Appliance Repair and Maintenance,81141,2
NAICS 811420,Reupholstery and Furniture Repair,81142,0
NAICS 811430,Footwear and Leather Goods Repair,81143,0
NAICS 811490,Other Personal and Household Goods Repair and Maintenance,81149,0
NAICS 812111,Barber Shops,81211,1
NAICS 812112,Beauty Salons,81211,2
NAICS 812113,Nail Salons,81211,3
NAICS 812191,Diet and Weight Reducing Centers,81219,1
NAICS 812199,Other Personal Care Services,81219,9
NAICS 812210,Funeral Homes and Funeral Services,81221,0
NAICS 812220,Cemeteries and Crematories,81222,0
NAICS 812310,Coin-Operated Laundries and Drycleaners,81231,0
NAICS 812320,Drycleaning and Laundry Services (except Coin-Operated),81232,0
NAICS 812331,Linen Supply,81233,1
NAICS 812332,Industrial Launderers,81233,2
NAICS 812910,Pet Care (except Veterinary) Services,81291,0
NAICS 812921,Photofinishing Laboratories (except One-Hour),81292,1
NAICS 812922,One-Hour Photofinishing,81292,2
NAICS 812930,Parking Lots and Garages,81293,0
NAICS 812990,All Other Personal Services,81299,0
NAICS 813110,Religious Organizations,81311,0
NAICS 813211,Grantmaking Foundations,81321,1
NAICS 813212,Voluntary Health Organizations,81321,2
NAICS 813219,Other Grantmaking and Giving Services,81321,9
NAICS 813311,Human Rights Organizations,81331,1
NAICS 813312,"Environment, Conservation and Wildlife Organizations",81331,2
NAICS 813319,Other Social Advocacy Organizations,81331,9
NAICS 813410,Civic and Social Organizations,81341,0
NAICS 813910,Business Associations,81391,0
NAICS 813920,Professional Organizations,81392,0
NAICS 813930,Labor Unions and Similar Labor Organizations,81393,0
NAICS 813940,Political Organizations,81394,0
NAICS 813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",81399,0
NAICS 814110,Private Households,81411,0
NAICS 921110,Executive Offices,92111,0
NAICS 921120,Legislative Bodies,92112,0
NAICS 921130,Public Finance Activities,92113,0
NAICS 921140,"Executive and Legislative Offices, Combined",92114,0
NAICS 921150,American Indian and Alaska Native Tribal Governments,92115,0
NAICS 921190,Other General Government Support,92119,0
NAICS 922110,Courts,92211,0
NAICS 922120,Police Protection,92212,0
NAICS 922130,Legal Counsel and Prosecution,92213,0
NAICS 922140,Correctional Institutions,92214,0
NAICS 922150,Parole Offices and Probation Offices,92215,0
NAICS 922160,Fire Protection,92216,0
NAICS 922190,"Other Justice, Public Order, and Safety Activities",92219,0
NAICS 923110,Administration of Education Programs,92311,0
NAICS 923120,Administration of Public Health Programs,92312,0
NAICS 923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",92313,0
NAICS 923140,Administration of Veterans' Affairs,92314,0
NAICS 924110,Administration of Air and Water Resource and Solid Waste Management Programs,92411,0
NAICS 924120,Administration of Conservation Programs,92412,0
NAICS 925110,Administration of Housing Programs,92511,0
NAICS 925120,Administration of Urban Planning and Community and Rural Development,92512,0
NAICS 926110,Administration of General Economic Programs,92611,0
NAICS 926120,Regulation and Administration of Transportation Programs,92612,0
NAICS 926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",92613,0
NAICS 926140,Regulation of Agricultural Marketing and Commodities,92614,0
NAICS 926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",92615,0
NAICS 927110,Space Research and Technology,92711,0
NAICS 928110,National Security,92811,0
NAICS 928120,International Affairs,92812,0
